年度标识	省份名称	地区生产总值	地区生产总值－房地产业	第一产业占GDP比重(%)	第二产业占GDP比重(%)	第三产业占GDP比重(%)	人均地区生产总值
2009	山东省	33896.6500	1329.5900	9.5000	55.8000	34.7000	35894.0000
2009	河南省	19480.4600	622.9800	14.2000	56.5000	29.3000	20597.0000
2009	湖北省	12961.1000	546.1100	13.9000	46.6000	39.6000	22677.0000
2009	湖南省	13059.6900	400.1100	15.1000	43.5000	41.4000	20428.0000
2009	广东省	39482.5600	2470.6300	5.1000	49.2000	45.7000	41166.0000
2009	广西壮族自治区	7759.1600	348.9800	18.8000	43.6000	37.6000	16045.0000
2009	海南省	1654.2100	121.7600	27.9000	26.8000	45.3000	19254.0000
2009	重庆市	6530.0100	229.0900	9.3000	52.8000	37.9000	22920.0000
2009	四川省	14151.2800	548.1400	15.8000	47.4000	36.7000	17339.0000
2009	贵州省	3912.6800	136.1500	14.1000	37.7000	48.2000	10309.0000
2009	云南省	6169.7500	205.1400	17.3000	41.9000	40.8000	13539.0000
2009	西藏自治区	441.3600	13.2800	14.5000	31.0000	54.6000	15295.0000
2009	陕西省	8169.8000	239.9200	9.7000	51.9000	38.5000	21688.0000
2009	甘肃省	3387.5600	101.3700	14.7000	45.1000	40.2000	12872.0000
2009	青海省	1081.2700	23.0500	9.9000	53.2000	36.9000	19454.0000
2009	宁夏回族自治区	1353.3100	47.5600	9.4000	48.9000	41.7000	21777.0000
2009	新疆维吾尔自治区	4277.0500	115.2300	17.8000	45.1000	37.1000	19942.0000
2009	北京市	12153.0300	1062.4700	1.0000	23.5000	75.5000	70452.0000
2009	天津市	7521.8500	308.7300	1.7000	53.0000	45.3000	62574.0000
2009	河北省	17235.4800	612.4000	12.8000	52.0000	35.2000	24581.0000
2009	山西省	7358.3100	173.3100	6.5000	54.3000	39.2000	21522.0000
2009	内蒙古自治区	9740.2500	286.6500	9.5000	52.5000	38.0000	40282.0000
2009	辽宁省	15212.4900	605.2700	9.3000	52.0000	38.7000	35239.0000
2009	吉林省	7278.7500	200.1400	13.5000	48.7000	37.9000	26595.0000
2009	黑龙江省	8587.0000	301.1800	13.4000	47.3000	39.3000	22447.0000
2009	上海市	15046.4500	1237.5600	.8000	39.9000	59.4000	78989.0000
2009	中国	348517.7000	18966.9000	9.6000	46.0000	44.4000	26180.0000
2008	中国	319244.6000	14738.7000	10.2000	47.0000	42.9000	24100.0000
2008	北京市	11115.0000	610.8400	1.1000	25.7000	73.2000	63029.0000
2008	天津市	6719.0100	202.3800	1.9000	60.1000	37.9000	55473.0000
2008	河北省	16011.9700	435.8700	12.6000	54.2000	33.2000	23239.0000
2008	山西省	7315.4000	168.9900	4.4000	61.5000	34.2000	20398.0000
2008	内蒙古自治区	8496.2000	167.5800	11.7000	55.0000	33.3000	32214.0000
2008	辽宁省	13668.5800	416.2100	9.7000	55.8000	34.5000	31259.0000
2008	吉林省	6426.1000	181.3500	14.3000	47.7000	38.0000	23514.0000
2008	黑龙江省	8314.3700	249.8600	13.1000	52.5000	34.4000	21727.0000
2008	上海市	14069.8600	747.0000	.8000	45.5000	53.7000	73124.0000
2008	江苏省	30981.9800	1220.9800	6.9000	55.0000	38.1000	39622.0000
2008	浙江省	21462.6900	1082.9800	5.1000	53.9000	41.0000	42214.0000
2008	安徽省	8851.6600	342.7200	16.0000	46.6000	37.4000	14485.0000
2008	福建省	10823.0100	466.7500	10.7000	50.0000	39.3000	30123.0000
2008	江西省	6971.0500	190.6500	16.4000	52.7000	30.9000	14781.0000
2008	山东省	30933.2800	1043.9200	9.7000	57.0000	33.4000	33083.0000
2008	河南省	18018.5300	484.1100	14.4000	56.9000	28.6000	19593.0000
2008	湖北省	11328.8900	421.3300	15.7000	43.8000	40.5000	19860.0000
2008	湖南省	11555.0000	387.0800	18.0000	44.2000	37.8000	17521.0000
2008	广东省	36796.7100	2209.7800	5.5000	51.6000	42.9000	37589.0000
2008	广西壮族自治区	7021.0000	280.6000	20.3000	42.4000	37.4000	14966.0000
2008	海南省	1503.0600	57.3100	30.0000	29.8000	40.2000	17175.0000
2008	重庆市	5793.6600	191.2100	11.3000	47.7000	41.0000	18025.0000
2008	四川省	12601.2300	388.4200	18.9000	46.3000	34.8000	15378.0000
2008	贵州省	3561.5600	123.2300	16.4000	42.3000	41.3000	8824.0000
2008	云南省	5692.1200	219.2700	17.9000	43.0000	39.1000	12587.0000
2008	西藏自治区	394.8500	31.7000	15.3000	29.2000	55.5000	13861.0000
2008	陕西省	7314.5800	159.8100	11.0000	56.1000	32.9000	18246.0000
2008	甘肃省	3166.8200	93.8000	14.6000	46.3000	39.1000	12110.0000
2008	青海省	1018.6200	21.4800	11.0000	55.1000	34.0000	17389.0000
2008	宁夏回族自治区	1203.9200	32.5700	10.9000	52.9000	36.2000	17892.0000
2008	新疆维吾尔自治区	4183.2100	94.4900	16.4000	49.6000	33.9000	19893.0000
2007	重庆市	4676.1300	196.0600	11.7000	45.9000	42.4000	14660.0000
2007	上海市	12494.0100	806.7900	.8000	46.6000	52.6000	66367.0000
2007	天津市	5252.7600	189.4200	2.2000	57.3000	40.5000	46122.0000
2007	北京市	9846.8100	644.2400	1.1000	26.8000	72.1000	58204.0000
2007	中国	270092.3000	13809.7000	10.2000	46.9000	42.9000	20494.0000
2007	湖南省	9439.6000	332.6200	17.7000	42.6000	39.8000	14492.0000
2007	宁夏回族自治区	919.1100	28.0700	11.0000	50.8000	38.2000	14649.0000
2007	浙江省	18753.7300	1004.6200	5.3000	54.0000	40.7000	37411.0000
2007	海南省	1254.1700	45.7800	29.5000	29.8000	40.7000	14555.0000
2007	贵州省	2884.1100	105.2200	16.3000	41.9000	41.8000	6915.0000
2007	河南省	15012.4600	447.4400	14.8000	55.2000	30.1000	16012.0000
2007	江苏省	26018.4800	1132.3200	7.1000	55.6000	37.4000	33928.0000
2007	内蒙古自治区	6423.1800	148.0400	12.5000	51.8000	35.7000	25393.0000
2007	福建省	9248.5300	481.3300	10.8000	49.2000	40.0000	25908.0000
2007	西藏自治区	341.4300	12.1900	16.0000	28.8000	55.2000	12109.0000
2007	山东省	25776.9100	935.5500	9.7000	56.9000	33.4000	27807.0000
